Element# βxx' βyy' βzz' 
3.5300000e+02 2.0962771e+00 1.5569562e+00 5.2516102e+02 
3.5400000e+02 2.0689339e+00 1.5631137e+00 5.3208396e+02 
3.5500000e+02 2.0689339e+00 1.5631137e+00 5.3208396e+02 
3.5600000e+02 2.0689339e+00 1.5631137e+00 5.3208396e+02 
3.5700000e+02 2.0407911e+00 1.5693333e+00 5.3895955e+02 
3.5800000e+02 2.0407911e+00 1.5693333e+00 5.3895955e+02 
3.5900000e+02 2.0407911e+00 1.5693333e+00 5.3895955e+02 
3.6000000e+02 2.0118791e+00 1.5756157e+00 5.4578603e+02 
3.6100000e+02 2.0118791e+00 1.5756157e+00 5.4578603e+02 
3.6200000e+02 2.0118791e+00 1.5756157e+00 5.4578603e+02 
3.6300000e+02 1.9822236e+00 1.5819614e+00 5.5256195e+02 
3.6400000e+02 1.9822236e+00 1.5819614e+00 5.5256195e+02 
3.6500000e+02 1.9822236e+00 1.5819614e+00 5.5256195e+02 
3.6600000e+02 1.9518561e+00 1.5883694e+00 5.5928550e+02 
3.6700000e+02 1.9518561e+00 1.5883694e+00 5.5928550e+02 
3.6800000e+02 1.9518561e+00 1.5883694e+00 5.5928550e+02 
3.6900000e+02 1.9208062e+00 1.5948398e+00 5.6595517e+02 
3.7000000e+02 1.9208062e+00 1.5948398e+00 5.6595517e+02 
3.7100000e+02 1.9208062e+00 1.5948398e+00 5.6595517e+02 
3.7200000e+02 1.8891040e+00 1.6013743e+00 5.7256920e+02 
3.7300000e+02 1.8891040e+00 1.6013743e+00 5.7256920e+02 
3.7400000e+02 1.8891040e+00 1.6013743e+00 5.7256920e+02 
3.7500000e+02 1.8567812e+00 1.6079702e+00 5.7912615e+02 
